are:	parameters		p	q	r	s
-122.205	47.1	10.70	1.22178910317	0.113997099298	-122.20882821	46.9860327539
-122.617	47.0652	18.18	0.942003860234	0.0735147880035	-122.618902431	46.99169665
-122.6733	47.1598	8.71	0.902058049654	0.167438066436	-122.677456703	46.9923858651
-121.9733	46.932	0.05	1.38381072414	-0.0501003670676	-121.971400603	46.9820835907
-119.5565	46.947	0.59	3.03183980557	0.0329847243836	-119.559236067	46.9140682363
-121.9733	46.9375	12.58	1.38366846941	-0.0446022070476	-121.971609048	46.9820872733
-121.9683	46.9397	12.69	1.38702426198	-0.0423145369926	-121.966691824	46.9820002998
-123.1873	46.9445	41.43	0.554825849608	-0.0526221888777	-123.186499645	46.9971193548
-121.8138	47.1688	17.35	1.48608197656	0.189535343919	-121.821550503	46.9793381723
-122.8448	46.8138	20.99	0.790561407999	-0.180371341266	-122.840900843	46.9941516673
-123.8358	47.1875	0.05	0.111591059889	0.187616943857	-123.836376589	46.9998834668
-118.2018	46.688	14.80	3.97381195383	-0.16493814475	-118.183980336	46.8524859462
-118.2482	46.692	14.12	3.94177589558	-0.163291225993	-118.230698198	46.8548506781
-118.2367	46.6708	17.60	3.95119972835	-0.183855233688	-118.21695509	46.8541570339
-118.2808	46.7118	14.62	3.91803155095	-0.1451782263	-118.265326983	46.8565910947
-118.2908	46.721	9.56	3.91052369995	-0.136501900903	-118.27627691	46.8571392332
-118.2482	46.7012	14.36	3.94110156932	-0.154115971904	-118.231681605	46.854900249
-120.6325	46.9097	17.29	2.2998019757	-0.0408710382067	-120.629927869	46.9505332773
-123.7957	47.1762	4.75	0.138872613344	0.176381075563	-123.796374436	46.9998195222
-121.741	46.8712	1.06	1.54413386081	-0.106537195566	-121.73649862	46.9776928303
-118.2578	46.7007	10.32	3.93457210202	-0.155096789976	-118.241203983	46.8553798063
-121.7523	46.8497	0.03	1.53702859934	-0.128250490189	-121.746908264	46.9778975942
-123.8333	47.1798	12.37	0.113306453188	0.179920549414	-123.833861355	46.9998798565
-118.2575	46.707	14.79	3.93431627155	-0.14879862545	-118.241577082	46.8553985797
-120.0013	46.9565	2.44	2.72814231357	0.026126229323	-120.00325119	46.9304077535
-120.0015	46.9542	2.60	2.72812327492	0.0238222602482	-120.003279033	46.930408724
-118.1975	46.693	13.84	3.9763838709	-0.159733813034	-118.180229914	46.8522952767
